,Sector,Cycle,Contributions ($),Contribs R ($),Contribs D ($)
0,oil,2010,6379640,5072190,1204450
1,solar,2010,13000,2000,10000
2,wind,2010,1869950,752200,1107750
3,hydro,2010,3352678,1439399,1857779
4,nuclear,2010,4306699,1857274,2381925
5,coal,2010,946200,683900,251800
6,oil,2012,9084327,8323488,760839
7,solar,2012,59750,23500,36250
8,wind,2012,2022825,1204675,818150
9,hydro,2012,3514900,2207000,1307900
10,nuclear,2012,4430900,2839100,1591800
11,coal,2012,1376350,1272000,104350
12,oil,2014,9446076,8515924,930152
13,solar,2014,101492,28000,73492
14,wind,2014,2367292,1422000,945292
15,hydro,2014,3894173,2562323,1329350
16,nuclear,2014,4709844,3140294,1563050
17,coal,2014,1193525,1120525,73000
18,oil,2016,8574064,7983662,590402
19,solar,2016,60960,38060,22900
20,wind,2016,2186330,1431250,754080
21,hydro,2016,3956450,3001700,954750
22,nuclear,2016,4573609,3528809,1044800
23,coal,2016,644600,617100,27500
24,oil,2020,7674096,6569897,1099199
25,solar,2020,81800,33500,48300
26,wind,2020,1095200,527200,568000
27,hydro,2020,2952900,1953900,999000
28,nuclear,2020,3126300,2113700,1012600
29,coal,2020,646449,582949,58500
